Overall rank,country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,tavg
31,31,32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,24.95
32,32,33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,16.615816618911175
33,33,34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,12.560172413793104
34,34,35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,27.13747126436781
35,35,36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,16.916103151862462
36,36,37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,28.055873925501437
37,37,38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,13.832836676217765
38,38,39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,25.75
39,39,40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,10.732110091743118
40,40,41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,12.05
41,41,42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,8.845584862385321
42,42,43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,24.5
43,43,44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,27.164756446991404
44,44,45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,27.46865329512894
45,45,46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,9.5
46,46,47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,17.56819484240688
47,47,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,8.027953890489913
48,48,49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,12.329661503155478
49,49,50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,21.85
50,50,51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,28.141948424068765
51,51,52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,28.77484240687679
52,52,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,9.061948051948052
53,53,54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,13.741805635422656
54,54,55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,7.419656160458451
55,55,56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,27.73793696275072
56,56,57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,24.571690544412608
57,57,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,16.41002865329513
58,58,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,23.5
59,59,60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,6.005100286532951
60,60,61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,21.55
61,61,62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,12.947848537005164
62,62,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,23.614498567335247
63,63,64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,21.02189440993789
64,64,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,18.91438395415473
65,65,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,17.502064220183485
66,66,67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,20.2
67,67,68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,24.018223495702006
68,68,69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,28.367965616045844
69,69,70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,27.15449856733524
70,70,71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,12.341652323580034
71,71,72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,21.487150837988825
72,72,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,17.572690763052208
73,73,74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,6.4
74,74,75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,24.65877950489349
75,75,76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,24.519896788990824
76,76,77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,26.02464183381089
77,77,78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,9.85
78,78,79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,9.9
79,79,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,25.4
80,80,81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,9.196618911174784
81,81,82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,19.1465329512894
82,82,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,1.7
83,83,84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,9.8
84,84,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,27.0
85,85,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,11.454275534441804
86,86,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,19.456045845272207
87,87,88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,19.602922636103152
88,88,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,17.477134670487104
89,89,90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,15.6699196326062
90,90,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,21.77028112449799
91,91,92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,28.29260744985673
92,92,93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,13.528080229226362
93,93,94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,24.450945558739257
